exclusiveContract,transferRights,multipleEngagements,significantWorkingTime,seriesOfContracts,Result
ableToProvideServicesWithPermission,ableToTransferRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServicesWithPermission,ableToTransferRights,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,ableToTransferRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServicesWithPermission,ableToTransferRights,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServicesWithPermission,ableToTransferRights,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,ableToTransferRights,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServicesWithPermission,ableToTransferRights,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,ableToTransferRights,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,LOW
ableToProvideServicesWithPermission,ableToTransferRights,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,ableToTransferRights,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,ableToTransferRights,onlyContractForPeriod,noSignificantAmount,standAloneContract,LOW
ableToProvideServicesWithPermission,ableToTransferRights,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,ableToTransferRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,ableToTransferRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,LOW
ableToProvideServicesWithPermission,ableToTransferRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,ableToTransferRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,ableToTransferRights,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,ableToTransferRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,retainOwnershipRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,HIGH
ableToProvideServicesWithPermission,retainOwnershipRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,HIGH
ableToProvideServicesWithPermission,retainOwnershipRights,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,onlyContractForPeriod,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,retainOwnershipRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServicesWithPermission,noRightsArise,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,noRightsArise,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,noRightsArise,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServicesWithPermission,noRightsArise,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServicesWithPermission,noRightsArise,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,noRightsArise,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServicesWithPermission,noRightsArise,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,noRightsArise,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,LOW
ableToProvideServicesWithPermission,noRightsArise,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,noRightsArise,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,noRightsArise,onlyContractForPeriod,noSignificantAmount,standAloneContract,LOW
ableToProvideServicesWithPermission,noRightsArise,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,noRightsArise,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,noRightsArise,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,LOW
ableToProvideServicesWithPermission,noRightsArise,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,noRightsArise,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServicesWithPermission,noRightsArise,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,noRightsArise,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,HIGH
ableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,HIGH
ableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,LOW
ableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,HIGH
ableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,HIGH
ableToProvideServices,ableToTransferRights,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,ableToTransferRights,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,ableToTransferRights,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,ableToTransferRights,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,ableToTransferRights,onlyContractForPeriod,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,ableToTransferRights,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,HIGH
ableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,HIGH
ableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,HIGH
ableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,HIGH
ableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,HIGH
ableToProvideServices,retainOwnershipRights,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,retainOwnershipRights,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,retainOwnershipRights,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,retainOwnershipRights,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,retainOwnershipRights,onlyContractForPeriod,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,retainOwnershipRights,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,HIGH
ableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,noRightsArise,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,noRightsArise,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,noRightsArise,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,noRightsArise,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,noRightsArise,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,HIGH
ableToProvideServices,noRightsArise,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,noRightsArise,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServices,noRightsArise,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,LOW
ableToProvideServices,noRightsArise,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServices,noRightsArise,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,noRightsArise,onlyContractForPeriod,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,noRightsArise,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,MEDIUM
